Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
100209,0,Greater Shantallow Area Partnership,21/05/2014,Up-to-date,31 March 2016,1120395,1099844,0,0,0,"Greater Shantlallow Area, Partnership, Unit C3-C4, Northside Village Centre, Glengalliagh Road., BT48 8NN",www.greatershantallow.com,info@shantallow.net,028 71 358787,34587,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,Other charitable purposes","Adult training,Children (5-13 year olds),Older people,Parents,Preschool (0-5 year olds),Specific areas of deprivation,Unemployed/low income,Voluntary and community sector,Youth (14-25 year olds)","Community development,Cultural,Education/training,Environment/sustainable development/conservation,Playgroup/after schools,Relief of poverty,Sport/recreation,Urban development,Volunteer development",
100210,0,Douglas Bridge Cross Community Association Limited,20/07/2016,Recently registered,,0,0,0,0,0,"8 Burnview, Strabane, BT82 8PT",,douglasbridgecommunity@outlook.com,07783486975,40069,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development","Adult training,Children (5-13 year olds),Community safety/crime prevention,Learning disabilities,Men,Mental health,Older people,Parents,Physical disabilities,Volunteers,Women,Youth (14-25 year olds)","Community development,Education/training,Rural development,Volunteer development,Youth development",
100211,0,Zero-8-Teen,21/07/2014,Up-to-date,31 March 2016,377387,399899,0,0,0,"Moylinn House, 21 Legahory Centre, Legahory, Craigavon, County Armagh., BT65 5BE",zero8teen.co.uk,janis@zero8teen.co.uk,028 3834 1576,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Children (5-13 year olds),Learning disabilities,Parents,Physical disabilities,Preschool (0-5 year olds),Specific areas of deprivation,Voluntary and community sector,Volunteers","Arts,Community development,Community enterprise,Disability,Playgroup/after schools,Volunteer development",
100212,0,Norman Whiteside Sports Facility,23/07/2014,Due documents received late,05 April 2016,22406,21607,0,0,0,"Edenbrooke Primary School, 230 Tennent Street, Belfast., BT13 3GG",,nwsf1@yahoo.co.uk,02890351528,0,"The advancement of education,The advancement of amateur sport,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Community safety/crime prevention,Youth (14-25 year olds)","Education/training,Playgroup/after schools,Sport/recreation",
100213,0,Ullans Speakers Association,10/10/2014,Up-to-date,31 December 2016,86485,78952,0,0,0,"8 Stuart Park, Ballymoney, County Antrim., BT53 7BE",www.ullanscentre.co.uk,ullans@live.co.uk,028 276 68897,613897,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),General public,Language community,Learning disabilities,Older people,Preschool (0-5 year olds),Unemployed/low income,Voluntary and community sector,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Cultural,Disability,Education/training,Heritage/historical,Human rights/equality,Research/evaluation,Volunteer development,Youth development",
100214,0,Milltown Area Super Adults Club,31/07/2014,Up-to-date,31 March 2016,16942,9924,0,0,0,"1 Brooke Street, Dungannon, County Tyrone., BT71 7AN",,,028 87752175,0,The advancement of citizenship or community development,"Community safety/crime prevention,General public,Mental health,Older people","Community development,Volunteer development",
100215,0,Friends Of Harberton,28/05/2014,Up-to-date,31 August 2016,45733,36461,0,0,0,"29 Beechlawn Avenue, Dunmurry, Belfast., BT17 9NL",,pmulhern682@c2kni.net,02890381525,0,"The advancement of education,The advancement of citizenship or community development","Carers,Children (5-13 year olds),Learning disabilities,Parents,Preschool (0-5 year olds),Sensory disabilities,Volunteers","Education/training,General charitable purposes,Grant making",
100216,0,Fermanagh Under-Age Entertainment Life,21/03/2016,Recently registered,,0,0,0,0,0,"2, Quay Lane, Enniskillen, County Fermanagh., BT74 6AG",www.thefindcentre.com,office@thefindcentre.com,028 66 325559,606140,"The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Youth (14-25 year olds),Advice/advocacy/information,
100217,0,Short Strand Community Forum,24/04/2015,Up-to-date,31 May 2016,103063,84116,0,0,0,"Strand Community Centre, 26A Beechfield Street, Belfast., BT5 4EQ",,shortstrandcc@hotmail.co.uk,02890738871,0,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development,Other charitable purposes","Addictions (drug/solvent/alcohol abuse),Adult training,Children (5-13 year olds),Community safety/crime prevention,Ethnic minorities,Ex-offenders and prisoners,General public,Interface communities,Men,Mental health,Older people,Parents,Preschool (0-5 year olds),Voluntary and community sector,Women,Youth (14-25 year olds)","Community development,Counselling/support,Cross-border/cross-community,Education/training,Grant making,Relief of poverty,Volunteer development,Youth development",
100218,0,Strabane & District Caring Services,28/07/2014,Due documents received late,31 March 2016,1174516,1092087,0,0,0,"Strabane District Caring Services, 32-36 Bridge Street, Strabane, County Tyrone., BT82 9AE",,,02871884986,28244,"The prevention or relief of poverty,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Adult training,Carers,Community safety/crime prevention,Ethnic minorities,Ex-offenders and prisoners,Men,Mental health,Older people,Parents,Physical disabilities,Sensory disabilities,Specific areas of deprivation,Travellers,Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Community development,Community enterprise,Community transport,Cross-border/cross-community,Disability,Economic development,Education/training,General charitable purposes,Human rights/equality,Medical/health/sickness,Relief of poverty,Volunteer development,Youth development",
100219,0,Wise Men Of The East Network,28/07/2014,Due documents received late,31 March 2016,3570,5570,0,0,0,"1 Connswater Shopping Centre, Bloomfield Avenue, Belfast, BT5 5LP",www.wise-men.org.uk/,r.cleland@me.com,02890222437,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development","Men,Mental health,Older people,Unemployed/low income,Voluntary and community sector,Volunteers","Advice/advocacy/information,Community development,Cross-border/cross-community,Cultural,Education/training,Gender,Medical/health/sickness,Relief of poverty,Sport/recreation,Urban development,Volunteer development,Welfare/benevolent",
100220,0,Conflict Resolution Services (Ireland),08/09/2014,Up-to-date,31 March 2016,103328,147102,0,0,0,"18 College Park Avenue, Belfast, BT7 1LR",,info@crsireland.ie,07427101749,607738,"The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Adult training,Ex-offenders and prisoners,Interface communities,Men,Mental health,Travellers,Unemployed/low income,Victim support,Women","Advice/advocacy/information,Counselling/support,Criminal justice,Education/training,Human rights/equality",
100221,0,Churches In Co-Operation,29/07/2014,Up-to-date,31 March 2016,7410,14704,0,0,0,"22 Bishop Street, Derry., BT48 6PP",www.volunteeringnorthwest.co.uk,churchesincooperation@hotmail.co.uk,02871271017,31518,"The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Adult training,General public,Voluntary and community sector","Community development,Cross-border/cross-community,Education/training",
100222,0,The Churches Voluntary Work Bureau Limited,29/07/2014,Up-to-date,31 March 2016,126706,125431,0,0,0,"22 Bishop Street, Derry., BT48 6PP",www.volunteeringnorthwest.co.uk,enquiries@volunteeringnorthwest.co.uk,028 71271017,27452,"The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,General public,Older people,Voluntary and community sector","Education/training,Grant making,Volunteer development",
100223,0,"Friends Of St Louis, Ballymena",28/07/2014,Up-to-date,31 March 2016,5882,7690,0,0,0,"St. Louis Grammar School, Cullybackey Road, Ballymena, County Antrim., BT43 5DW",,friendsofstlouisballymena@gmail.com,02825649534,0,The advancement of education,"Children (5-13 year olds),Youth (14-25 year olds)","Advice/advocacy/information,Arts,Community development,Education/training,Heritage/historical,Sport/recreation,Youth development",
100224,0,North Ballymena Community Cluster,22/01/2015,Up-to-date,31 March 2016,23196,25920,0,0,0,"Ballymena North Business &, Recreation Centre, 120 Cushendall Road, Ballymena, County Antrim., BT43 6HB",www.northballymenacluster.org,jdougannbcc@outlook.com,07778345526,0,"The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Adult training,Community safety/crime prevention,Ethnic minorities,General public,Older people,Specific areas of deprivation,Tenants,Travellers,Unemployed/low income,Voluntary and community sector,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Cross-border/cross-community,Education/training,Urban development,Volunteer development",
100225,0,Fuse Youth Ministry,12/06/2014,Up-to-date,05 April 2016,9812,11604,0,0,0,"13 Cranebrook Crescent, Dungannon, County Tyrone., BT71 6JH",,keithmccann@btinternet.com,07734563856,0,"The advancement of education,The advancement of religion,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Community safety/crime prevention,Parents,Specific areas of deprivation,Volunteers,Youth (14-25 year olds)","Community development,Counselling/support,Education/training,Religious activities,Sport/recreation,Youth development",
100226,0,Beragh Evangelical Christian Church,28/07/2014,Up-to-date,31 December 2015,55340,52048,0,0,0,"6 Laragh Road, Beragh, Sixmilecross, Omagh, County Tyrone., BT79 0TH",,williamjleonard@btinternet.com,02880757272,0,"The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",General public,"Overseas aid/famine relief,Religious activities",
100227,0,The Tuesday Club,31/07/2014,Up-to-date,31 March 2016,5108,4430,0,0,0,"Units 18-20, Cookstown Enterprise Centre, Derryloran Industrial Estate, Cookstown, BT80 9LU",,ac_cookstown@hotmail.com,028 8676 9005,0,"The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","General public,Men,Mental health,Older people,Volunteers,Women","Accommodation/housing,Arts,Community development,Education/training,Sport/recreation,Volunteer development",
